analysis_level,Feature,RF_fold_selection_frequency,univariate_fold_selection_frequency,plsda_fold_selection_frequency,mean_selection_frequency,detection_rate,stable_by_both_criteria
animal-level,225.43,0.0,0.0,0.0,0.0,0.005,False
animal-level,247.45,0.0,0.0,0.0,0.0,0.0,False
animal-level,247.17,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.94,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.72,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.44,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.13,0.0,0.0,0.0,0.0,0.0,False
animal-level,247.74,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.04,0.0,0.0,0.0,0.0,0.0,False
animal-level,230.0,0.0,0.0,0.0,0.0,0.0,False
animal-level,58.06,0.0,0.0,0.447,0.0,1.0,False
animal-level,231.66,0.0,0.0,0.0,0.0,0.0,False
animal-level,231.46,0.0,0.0,0.0,0.0,0.0,False
animal-level,231.22,0.0,0.0,0.0,0.0,0.0,False
animal-level,231.04,0.0,0.0,0.0,0.0,0.0,False
animal-level,247.94,0.0,0.0,0.0,0.0,0.0,False
animal-level,230.54,0.0,0.0,0.0,0.0,0.0,False
animal-level,248.17,0.0,0.0,0.0,0.0,0.0,False
animal-level,245.44,0.0,0.0,0.0,0.0,0.0,False
animal-level,191.06,0.0,0.0,0.0,0.0,0.016,False
animal-level,190.82,0.0,0.0,0.0,0.0,0.0,False
animal-level,147.15,0.0,0.0,0.0,0.0,0.0,False
animal-level,190.26,0.0,0.0,0.0,0.0,0.0,False
animal-level,190.09,0.0,0.0,0.0,0.0,0.0,False
animal-level,189.86,0.0,0.0,0.0,0.0,0.0,False
animal-level,189.04,0.0,0.0,0.0,0.0,0.062,False
animal-level,211.33,0.0,0.0,0.0,0.0,0.016,False
animal-level,187.85,0.0,0.0,0.0,0.0,0.0,False
animal-level,186.86,0.0,0.0,0.0,0.0,0.0,False
animal-level,185.93,0.0,0.0,0.0,0.0,0.0,False
animal-level,185.05,0.0,0.0,0.0,0.0,0.0,False
animal-level,184.23,0.0,0.0,0.0,0.0,0.0,False
animal-level,184.1,0.0,0.0,0.0,0.0,0.005,False
animal-level,182.93,0.0,0.0,0.0,0.0,0.031,False
